Name,GTIN/UPC,Price,ingredients
"TRADER JOE'S, NATURAL RICE VINEGAR",970303.0,2.49,
DAIRY FREE CREAM CHEESE ALTERNATIVE,970747.0,2.99,
NON-DAIRY COCONUT BEVERAGE,975322.0,2.99,
"TRADER JOE'S, DARK CHOCOLATE HONEY MINTS",976886.0,3.99,
"TRADER JOE'S, GREEK YOGURT DIP, SPINACH & KALE, SPINACH & KALE",979153.0,4.49,
FRESH RICE NOODLES,980388.0,2.99,
EXTRA DARK CHOCOLATE WEDGES,980425.0,2.99,"BELGIAN UNSWEETENED CHOCOLATE, SUGAR, COCOA, SOY LECITHIN (AN EMULSIFIER), NATURAL VANILLA FLAVOR"
"TRADER JOE'S, KALE CHIPS",981477.0,3.99,"KALE, CASHEWS, TAHINI (GROUND SESAME SEEDS), CARROT POWDER, ONION POWDER, CANE SUGAR, LEMON JUICE CONCENTRATE, MUSTARD POWDER, SALT GARLIC POWDER"
ROASTED COCONUT CHIPS,981866.0,8.99,
"JUICE COCKTAIL, CRANBERRY",982320.0,,
"TRADER JOE'S, CHICKEN NOODLE SOUP WITH VEGGIES",984645.0,2.99,
"SPANISH OLIVE OIL, EXTRA VIRGIN",984850.0,10.99,
"TRADER JOE'S, LATIN STYLE BLACK BEAN SOUP",985994.0,2.49,
WHOLE GRAIN CRUNCH CEREAL,987059.0,2.29,
SOFT & JUICY MANGO,987417.0,2.29,
"TRADER JOE'S, ORGANIC TOMATILLO & ROASTED YELLOW CHILI SALSA",988384.0,2.99,"ORGANIC TOMATO PUREE (WATER, ORGANIC TOMATO PASTE), ORGANIC TOMATILLO, ORGANIC ROASTED YELLOW CHILI, ORGANIC ONION, SALT, ORGANIC CILANTRO, ORGANIC DRIED GARLIC, CITRIC ACID"
"TRADER JOE'S, EDAMAME HUMMUS",988582.0,3.99,
COCONUT CREAM,989022.0,1.69,"ORGANIC COCONUT, WATER"
"CRISPS, DARK CHOCOLATE",990165.0,2.88,"DARK CHOCOLATE (SUGAR, COCOA MASS, COCOA BUTTER, SOY LECITHIN, NATURAL VANILLA FLAVOR), PUFFED RICE (RICE FLOUR, SUGAR, BARLEY MALT EXTRACT, SALT, CALCIUM CARBONATE, RAPESEED OIL, SOY LECITHIN)"
ORANGE JUICE,990370.0,4.99,
CHIPOTLE SALSA,992633.0,3.49,
"TRADER JOE'S, DIJON MUSTARD",993432.0,1.99,
"TRADER JOE'S, KALAMATA EXTRA VIRGIN OLIVE OIL",993500.0,12.99,
CINNAMON GRAHAMS,11784388.0,4.49,
"TRADER JOE'S, LEMON PEPPER WITH GRINDER",89962244.0,2.49,
SALTED CARAMEL GELATO,5100000875.0,3.79,
GROUND BEEF,41498112103.0,7.49,
WISCONSIN SHARP CHEDDAR CHEESE,227871000000.0,4.99,"PASTEURIZED MILK, CHEESE CULTURES, SALT, VEGETABLE RENNET, ANNATTO (FOR COLOR)"
COCONUT OIL,750456000000.0,4.99, COCONUT
HALEY BLEND WITH COCONUT OIL,869210000000.0,4.99, COCONUT
